,features,r2_train,r2_test,totals_effect,nonlinear,interactions,rho_X,int_X,rho_U,int_U,N,cos_sim,correlation
27,10,0.5255852329880719,0.13028067038179958,0.5,0,2,0.5,1,0.5,2,100,0.24077353100290358,-0.2560130224154797
28,10,0.6390280985958126,0.17048637007514422,0.75,3,2,0.0,1,0.0,2,100,0.778951276140158,0.6848323787201613
29,5,0.7684703337580507,-0.0030380790695538895,0.75,1,0,0.5,1,0.5,2,30,0.9172786764171474,0.920314076771541
30,10,0.7265131778377166,-2.836964461681274,0.5,0,1,0.0,1,0.0,2,30,0.3973748742522355,-0.00798039178728409
31,2,0.358933595252968,-0.5147388493148974,0.5,1,1,0.0,1,0.5,2,50,0.6506477474416258,-1.0
32,5,0.5455729567114598,0.46984298283224457,0.5,1,0,0.5,1,0.0,2,100,0.9336035756369814,0.871817429976787
33,5,0.7680993304089961,-0.17049132780501486,0.75,3,0,0.5,1,0.0,2,30,0.47852509622404155,-0.10210246939849497
34,5,0.47602464626858965,0.13558215003257146,0.5,0,2,0.5,1,0.0,2,100,0.35142048723509833,-0.19465906005362274
35,5,0.4485842886412309,0.08132976341242282,0.5,1,0,0.5,1,0.0,2,100,0.5381017226831941,0.31859899792349505
36,5,0.5352969579730742,-26.151674903655604,0.5,3,1,0.0,1,0.0,2,30,0.5559135789039833,-0.2890032490665321
37,10,0.5329985718046033,-0.16173864865092957,0.75,0,2,0.0,1,0.0,2,100,0.40246730009117065,0.038744694363908
38,10,0.35222680636043857,-0.32530546272258754,0.25,3,0,0.5,1,0.0,2,100,0.6906491429525534,0.5304256257462638
39,2,0.7136832718022423,-1.7447750334296082,0.75,1,1,0.0,1,0.5,2,50,0.9241866310761458,-1.0
40,2,0.2096729233397865,-0.4830478894312442,0.25,0,0,0.5,1,0.5,2,100,0.9998338087395078,1.0
41,5,0.6419691518670676,-1.5312759612809206,0.5,0,1,0.0,1,0.5,2,30,0.753918261028547,0.37146443908100624
42,2,0.5003936574013712,0.035174885269024014,0.25,0,0,0.0,1,0.0,2,30,0.9654712601066904,1.0
43,5,0.42668979314286803,0.14686843208768996,0.5,0,1,0.5,1,0.0,2,100,0.32263497569425875,-0.4116949769137686
44,5,0.5594380340366794,-0.009049064550782804,0.75,0,2,0.0,1,0.5,2,100,0.36172593599701486,-0.4055713740882179
45,10,0.34338547980579337,0.17584977248126532,0.25,3,0,0.0,1,0.0,2,100,0.33999975132242366,-0.08792565873026245
46,5,0.6201362440662503,-0.03099059936159687,0.25,1,0,0.5,1,0.5,2,30,0.32864997543844426,-0.6239210349317708
47,10,0.5229543418917604,-0.7470513618977379,0.25,3,2,0.5,1,0.0,2,50,0.3769422843307687,-0.31548301255047556
48,10,0.7566501476930763,0.7234596332101177,0.75,3,1,0.5,1,0.5,2,50,0.8164130834899715,0.8417360230252672
49,5,0.5575100996395832,-0.19167708143605,0.25,0,0,0.5,1,0.5,2,50,0.7218394466537863,0.3352214961390116
