r2_train,r2_test,totals_effect,nonlinear,interactions,rho_X,int_X,rho_U,int_U
0.7839228942040919,0.4379883799609586,0.5,1,0,0.5,1,0.0,2
0.8765838000459352,0.8250539654312545,0.5,3,2,0.5,1,0.5,2
0.9586104528619428,0.8587365717909277,0.5,1,2,0.5,1,0.5,2
0.7524054514480196,0.7085122575519482,0.75,1,2,0.5,1,0.5,2
0.7088920641763446,0.14924559471631543,0.25,0,1,0.0,1,0.0,2
0.7767245629096395,0.6390574653650086,0.75,1,1,0.5,1,0.5,2
0.8479206414366193,-0.08097263408408023,0.75,1,2,0.0,1,0.5,2
0.8602855665559772,0.6408125922589507,0.25,1,0,0.5,1,0.5,2
0.9107902078078,0.9018860851925853,0.5,0,1,0.5,1,0.5,2
0.8850064874220469,0.7504775946740261,0.25,1,0,0.5,1,0.5,2
0.8834180955412272,0.7155641535121784,0.25,1,1,0.0,1,0.5,2
0.7626231495139815,0.30586611589973317,0.75,0,0,0.0,1,0.5,2
0.8341722416503867,0.7128456471592408,0.5,1,1,0.5,1,0.5,2
0.9503050663231167,0.9451973880476388,0.75,1,0,0.5,1,0.5,2
0.9222746988872661,0.7870236668978919,0.75,0,1,0.5,1,0.5,2
0.894581154507516,0.856646271087802,0.5,1,1,0.5,1,0.5,2
0.804542234886299,0.5386022129411895,0.25,0,0,0.5,1,0.0,2
0.8721650663644214,0.8518885375986238,0.75,0,0,0.5,1,0.5,2
0.9034300675395344,0.8250566369227739,0.75,3,0,0.5,1,0.5,2
0.8326884762511733,0.8310599036944242,0.5,1,1,0.5,1,0.5,2
0.8555810421571831,0.7011475858243781,0.75,1,0,0.5,1,0.5,2
0.8702166607569923,0.7857185097584266,0.25,1,1,0.5,1,0.5,2
0.8206541017680817,0.46658813041538205,0.75,3,1,0.5,1,0.0,2
0.9017827922547593,-0.35121559087483756,0.75,3,0,0.5,1,0.5,2
0.8407023928951551,0.6360849406398084,0.75,1,1,0.5,1,0.5,2
0.9122114928163784,0.7628031177721419,0.25,1,1,0.5,1,0.5,2
0.8194697463620917,0.5329417093388107,0.75,0,1,0.0,1,0.5,2
0.8261877693672917,0.5931210759641253,0.75,1,0,0.5,1,0.0,2
0.9003480087918538,0.8102904610829293,0.25,0,0,0.5,1,0.5,2
0.878564172196861,0.4790122566901139,0.75,0,2,0.5,1,0.0,2
0.7347802157008243,0.12385639831986522,0.5,3,2,0.0,1,0.0,2
0.7904644474543812,-5.885356250124612,0.25,0,0,0.0,1,0.0,2
0.9222210598465008,0.8425789964760412,0.25,1,1,0.5,1,0.5,2
0.749847374130685,-0.0016092496192977035,0.5,3,0,0.5,1,0.0,2
0.7709439801905102,0.0857297098249632,0.5,0,2,0.0,1,0.0,2
0.9398536555573318,0.8232545623895748,0.75,1,1,0.5,1,0.0,2
0.8039897721097933,0.5733511577215054,0.25,3,2,0.5,1,0.0,2
0.928808902594173,0.8284040496645239,0.75,1,1,0.5,1,0.5,2
0.8235934879555722,0.6136565152761952,0.75,1,2,0.5,1,0.0,2
0.9056228192791953,0.5960951746509362,0.25,3,2,0.5,1,0.5,2
0.774360110314203,-0.27604335081902154,0.75,0,1,0.0,1,0.5,2
0.9377065642841192,0.23666371173099576,0.75,0,0,0.5,1,0.0,2
0.6247450396604801,0.431990549242367,0.5,1,0,0.0,1,0.0,2
0.877161448539526,0.8684426234725664,0.75,1,1,0.5,1,0.5,2
0.8631502574383749,0.7564086732152199,0.75,0,2,0.5,1,0.5,2
0.7705260068400589,0.5459077243652047,0.75,3,0,0.5,1,0.5,2
