,features,r2_train,r2_test,totals_effect,nonlinear,interactions,rho_X,int_X,rho_U,int_U,N,cos_sim,cos_sim_rand
64,2,0.7362598199964903,0.4771944964842141,0.75,1,1,0.5,1,0.5,2,50,0.8683524086189207,0.15938458850501552
65,2,0.22382971718434796,-0.03369691574044986,0.25,0,0,0.0,1,0.5,2,100,0.7793348438530434,0.9841840075172218
66,5,0.7089384566701913,-0.7346383008037358,0.25,1,1,0.0,1,0.0,2,30,0.37101853683003316,0.41377737074779736
67,10,0.6966091535642203,0.2958341523900586,0.75,1,2,0.5,1,0.5,2,30,0.6614004706404042,0.5467318064488765
68,10,0.6646842431926018,-0.7255279388265332,0.75,0,1,0.0,1,0.5,2,50,0.8624825396550682,0.4991070647066623
69,5,0.41454846423594827,-0.08915789531043106,0.75,1,2,0.5,1,0.5,2,100,0.9678712792617219,0.7387552710731297
70,5,0.4745081144151564,0.13645366531087466,0.5,3,2,0.0,1,0.0,2,100,0.931941570515851,0.5943153061035381
71,5,0.7242248289595783,0.5920868382315794,0.5,3,0,0.0,1,0.5,2,30,0.9737278763108211,0.05496505983863786
72,5,0.8131260755358023,0.4926377183099222,0.75,3,0,0.0,1,0.5,2,100,0.9793164391010072,0.07864793844721914
73,5,0.7424640506877801,0.11939459237398531,0.75,0,0,0.5,1,0.0,2,50,0.9657781311453523,0.12262609440255591
74,5,0.5838901503820562,-0.45410476145608314,0.25,0,2,0.5,1,0.0,2,30,0.7101347320690546,0.8090932526430141
75,10,0.771126022839085,0.21421342978920277,0.5,3,1,0.5,1,0.5,2,50,0.5779857067080273,0.5592097616340801
76,10,0.758307651756337,-0.9396892060448834,0.5,0,2,0.5,1,0.5,2,30,0.7209596379497656,0.1984431000290083
77,10,0.6253775897357026,0.32808310165093835,0.75,3,2,0.0,1,0.0,2,100,0.7680260819629362,0.36009556280755517
78,10,0.5640667319975015,0.295623760300882,0.5,1,1,0.5,1,0.5,2,100,0.8285927209596797,0.23270454803197413
79,5,0.4864265593518978,-0.6072437962923782,0.5,1,2,0.0,1,0.5,2,50,0.832360643216549,0.596081005142981
80,10,0.61963939026441,0.36960361145724197,0.75,3,1,0.5,1,0.5,2,100,0.6061242253123698,0.2660938563535719
81,5,0.649035052511109,-0.6794783222651539,0.75,0,1,0.0,1,0.5,2,50,0.9072359993668268,0.23389577613115692
82,10,0.7271389059946768,0.030769940677295327,0.5,3,0,0.5,1,0.5,2,50,0.8171730032458584,0.47686947905365235
83,10,0.5162500773636893,0.020270484396662236,0.5,0,2,0.5,1,0.5,2,100,0.24615769801128778,0.49927164185186085
84,5,0.7014447815556597,-0.8912579314799423,0.5,1,1,0.5,1,0.0,2,50,0.7646485127890691,0.9395611726650419
85,10,0.5466167736812255,0.2963204856588503,0.5,1,2,0.5,1,0.5,2,100,0.6666997294103112,0.7964309587339985
86,5,0.532758912836506,0.2509371981820927,0.75,1,2,0.5,1,0.5,2,100,0.955130595456871,0.5493485125364915
87,5,0.20094601678717472,-0.0025874275883868147,0.25,3,1,0.5,1,0.0,2,100,0.9674895895135456,0.13117735575740622
88,5,0.48604760889727383,-0.12062473290483156,0.5,3,0,0.0,1,0.0,2,50,0.773719982013055,0.3819251505764444
89,2,0.5373719480399957,0.37617391310785797,0.75,1,1,0.5,1,0.5,2,50,0.8908713363634796,0.9277022678719314
90,5,0.7130421283751978,0.6396869526002912,0.75,1,0,0.0,1,0.5,2,50,0.9774766270618112,0.2237045369753297
