"","release_type","run","sex","release_location_rmis_basin","age","brood_year","fishery","gear","release_age","length","y_n","release_length"
"183","one_YO_fall",3,"F","YOCL",4,1992,50,"21",1,757.618644067797,236,121.772329566168
"184","one_YO_fall",3,"F","YOCL",4,1992,50,"50",1,766.666666666667,9,121.772329566168
"185","one_YO_fall",3,"F","YOCL",4,1992,54,"03",1,700,2,121.772329566168
"186","one_YO_fall",3,"F","YOCL",4,1992,54,"18",1,690,1,121.772329566168
"187","one_YO_fall",3,"F","YOCL",4,1993,50,"01",1,780,6,121.772329566168
"188","one_YO_fall",3,"F","YOCL",4,1993,50,"21",1,769.9,60,121.772329566168
"189","one_YO_fall",3,"F","YOCL",4,1994,21,"13",1,735,1,121.772329566168
"190","one_YO_fall",3,"F","YOCL",4,1994,50,"21",1,721.947368421053,38,121.772329566168
"191","one_YO_fall",3,"F","YOCL",4,1994,50,"50",1,770,3,121.772329566168
"192","one_YO_fall",3,"F","YOCL",4,1994,54,"03",1,680,2,121.772329566168
"193","one_YO_fall",3,"F","YOCL",4,1995,50,"01",1,710,3,121.772329566168
"194","one_YO_fall",3,"F","YOCL",4,1995,50,"21",1,701.166666666667,12,121.772329566168
"195","one_YO_fall",3,"F","YOCL",4,1996,21,"13",1,769.142857142857,14,121.772329566168
"196","one_YO_fall",3,"F","YOCL",4,1996,50,"21",1,771.333333333333,30,121.772329566168
"197","one_YO_fall",3,"F","YOCL",4,1997,21,"13",1,822.241379310345,29,121.772329566168
"198","one_YO_fall",3,"F","YOCL",4,1997,50,"21",1,843,22,121.772329566168
"199","one_YO_fall",3,"F","YOCL",4,1998,21,"13",1,826.285714285714,21,121.772329566168
"200","one_YO_fall",3,"F","YOCL",4,1998,50,"21",1,825.08,50,121.772329566168
"201","one_YO_fall",3,"F","YOCL",4,1999,21,"13",1,806.794117647059,34,121.772329566168
"202","one_YO_fall",3,"F","YOCL",4,1999,50,"21",1,823.756097560976,82,121.772329566168
"203","one_YO_fall",3,"F","YOCL",4,1999,50,"22",1,838.125,32,121.772329566168
"204","one_YO_fall",3,"F","YOCL",4,1999,54,"18",1,814.230769230769,13,121.772329566168
"205","one_YO_fall",3,"F","YOCL",4,2000,21,"13",1,777.2,20,121.772329566168
"206","one_YO_fall",3,"F","YOCL",4,2000,50,"21",1,833.166666666667,24,121.772329566168
"207","one_YO_fall",3,"F","YOCL",4,2000,50,"22",1,836.8,10,121.772329566168
"208","one_YO_fall",3,"F","YOCL",4,2002,21,"13",1,797,5,121.772329566168
"209","one_YO_fall",3,"F","YOCL",4,2002,50,"21",1,820.555555555556,18,121.772329566168
"210","one_YO_fall",3,"F","YOCL",4,2002,50,"22",1,850.5,4,121.772329566168
"211","one_YO_fall",3,"F","YOCL",4,2002,54,"18",1,800,2,121.772329566168
"212","one_YO_fall",3,"F","YOCL",4,2004,50,"21",1,848.181818181818,22,121.772329566168
"213","one_YO_fall",3,"F","YOCL",4,2004,50,"22",1,880,2,121.772329566168
"214","one_YO_fall",3,"M","YOCL",3,1983,50,"01",1,676.666666666667,9,121.307906824147
"215","one_YO_fall",3,"M","YOCL",3,1983,50,"21",1,659.8,80,121.307906824147
"216","one_YO_fall",3,"M","YOCL",3,1983,50,"50",1,660,3,121.307906824147
"217","one_YO_fall",3,"M","YOCL",3,1984,50,"01",1,490,3,121.307906824147
"218","one_YO_fall",3,"M","YOCL",3,1984,50,"21",1,618.764705882353,34,121.307906824147
"219","one_YO_fall",3,"M","YOCL",3,1984,50,"22",1,627.904761904762,42,121.307906824147
"220","one_YO_fall",3,"M","YOCL",3,1984,52,"24",1,626,4,121.307906824147
"221","one_YO_fall",3,"M","YOCL",3,1985,42,"95",1,640,1,121.307906824147
"222","one_YO_fall",3,"M","YOCL",3,1985,50,"01",1,740,3,121.307906824147
"223","one_YO_fall",3,"M","YOCL",3,1985,50,"21",1,679.636363636364,66,121.307906824147
"224","one_YO_fall",3,"M","YOCL",3,1985,50,"50",1,730,3,121.307906824147
"225","one_YO_fall",3,"M","YOCL",3,1985,54,"03",1,690,2,121.307906824147
"226","one_YO_fall",3,"M","YOCL",3,1986,50,"01",1,680,6,121.307906824147
"227","one_YO_fall",3,"M","YOCL",3,1986,50,"21",1,637.854838709677,124,121.307906824147
"228","one_YO_fall",3,"M","YOCL",3,1986,50,"50",1,680,6,121.307906824147
"229","one_YO_fall",3,"M","YOCL",3,1987,22,"14",1,670,1,121.307906824147
"230","one_YO_fall",3,"M","YOCL",3,1987,50,"01",1,642,15,121.307906824147
"231","one_YO_fall",3,"M","YOCL",3,1987,50,"21",1,643.983739837398,246,121.307906824147
"232","one_YO_fall",3,"M","YOCL",3,1987,50,"50",1,647.777777777778,27,121.307906824147
"233","one_YO_fall",3,"M","YOCL",3,1988,45,"32",1,665,2,121.307906824147
"234","one_YO_fall",3,"M","YOCL",3,1988,50,"01",1,706.153846153846,39,121.307906824147
"235","one_YO_fall",3,"M","YOCL",3,1988,50,"21",1,691.794392523365,214,121.307906824147
"236","one_YO_fall",3,"M","YOCL",3,1988,50,"50",1,720,3,121.307906824147
"237","one_YO_fall",3,"M","YOCL",3,1988,61,"15",1,670,1,121.307906824147
"238","one_YO_fall",3,"M","YOCL",3,1991,50,"01",1,780,3,121.307906824147
"239","one_YO_fall",3,"M","YOCL",3,1991,50,"21",1,667.677419354839,124,121.307906824147
"240","one_YO_fall",3,"M","YOCL",3,1991,50,"50",1,691.25,24,121.307906824147
"241","one_YO_fall",3,"M","YOCL",3,1992,50,"01",1,728.372093023256,129,121.307906824147
"242","one_YO_fall",3,"M","YOCL",3,1992,50,"21",1,703.991304347826,460,121.307906824147
"243","one_YO_fall",3,"M","YOCL",3,1992,50,"50",1,710,48,121.307906824147
"244","one_YO_fall",3,"M","YOCL",3,1992,54,"03",1,710,4,121.307906824147
"245","one_YO_fall",3,"M","YOCL",3,1992,54,"18",1,718.75,8,121.307906824147
"246","one_YO_fall",3,"M","YOCL",3,1993,50,"01",1,690,3,121.307906824147
"247","one_YO_fall",3,"M","YOCL",3,1993,50,"21",1,622.944444444444,72,121.307906824147
"248","one_YO_fall",3,"M","YOCL",3,1993,50,"50",1,616.666666666667,9,121.307906824147
"249","one_YO_fall",3,"M","YOCL",3,1994,50,"01",1,615,6,121.307906824147
"250","one_YO_fall",3,"M","YOCL",3,1994,50,"21",1,617.571428571429,14,121.307906824147
"251","one_YO_fall",3,"M","YOCL",3,1996,21,"13",1,664.4,5,121.307906824147
"252","one_YO_fall",3,"M","YOCL",3,1996,50,"21",1,627.8,10,121.307906824147
"253","one_YO_fall",3,"M","YOCL",3,1997,21,"13",1,662.416666666667,12,121.307906824147
"254","one_YO_fall",3,"M","YOCL",3,1997,50,"21",1,669.571428571429,28,121.307906824147
"255","one_YO_fall",3,"M","YOCL",3,1997,50,"22",1,592,2,121.307906824147
"256","one_YO_fall",3,"M","YOCL",3,1998,21,"13",1,670.454545454545,11,121.307906824147
