"","release_type","run","sex","release_location_rmis_basin","brood_year","length_age3","length_age4","length_age5"
"99","one_YO_summer",3,"F","COWL",1994,NA,822.8125,938.571428571429
"100","one_YO_summer",3,"F","COWL",1995,711.891891891892,816.412213740458,907.333333333333
"101","one_YO_summer",3,"F","COWL",1996,746.521739130435,856.153846153846,845.714285714286
"102","one_YO_summer",3,"F","COWL",1997,NA,836.065573770492,902.380952380952
"103","one_YO_summer",3,"F","COWL",1998,719.071428571429,855.268292682927,885.714285714286
"104","one_YO_summer",3,"F","COWL",1999,720.833333333333,829.350649350649,872
"105","one_YO_summer",3,"F","COWL",2000,704.333333333333,794.404761904762,860
"106","one_YO_summer",3,"F","COWL",2001,702.5,809.863636363636,898.148148148148
"107","one_YO_summer",3,"F","COWL",2002,752.857142857143,831.666666666667,895
"108","one_YO_summer",3,"F","COWL",2003,751.923076923077,844.375,NA
"109","one_YO_summer",3,"F","COWL",2004,735.789473684211,846,NA
"110","one_YO_summer",3,"F","COWL",2005,752.380952380952,827.363184079602,886.363636363636
"111","one_YO_summer",3,"F","COWL",2006,735.723684210526,822.692307692308,854.255319148936
"112","one_YO_summer",3,"F","COWL",2007,733.464566929134,823.070607553366,850.27397260274
"113","one_YO_summer",3,"F","COWL",2008,746.037735849057,795.037037037037,864.705882352941
"114","one_YO_summer",3,"F","COWL",2009,730.212765957447,819.733333333333,772.5
"115","one_YO_summer",3,"F","GREL",1977,770.536842105263,876.736842105263,NA
"116","one_YO_summer",3,"F","GREL",1978,805.072463768116,870.714285714286,NA
"117","one_YO_summer",3,"F","GREL",1979,796.647668393782,858.286666666667,NA
"118","one_YO_summer",3,"F","GREL",1980,802.220338983051,832,NA
"119","one_YO_summer",3,"F","GREL",1981,765.100917431193,878.533333333333,NA
"120","one_YO_summer",3,"F","GREL",1982,NA,850.788732394366,NA
"121","one_YO_summer",3,"F","GREL",1984,788,866.672064777328,NA
"122","one_YO_summer",3,"F","GREL",1985,762.272727272727,871.226932668329,NA
"123","one_YO_summer",3,"F","GREL",1988,819.642857142857,907.333333333333,NA
"124","one_YO_summer",3,"F","GREL",1989,747.869565217391,778.512820512821,NA
"125","one_YO_summer",3,"F","GREL",1990,NA,792.108108108108,NA
"126","one_YO_summer",3,"F","GREL",1991,769.932075471698,832.686567164179,NA
"127","one_YO_summer",3,"F","GREL",1992,772.528662420382,823.477876106195,NA
"128","one_YO_summer",3,"F","GREL",1993,758.125,846.505376344086,NA
"129","one_YO_summer",3,"F","GREL",1994,NA,875.357142857143,NA
"130","one_YO_summer",3,"F","GREL",1995,714.75,826.521739130435,NA
"131","one_YO_summer",3,"F","GREL",1996,711.025641025641,844.74358974359,NA
"132","one_YO_summer",3,"F","GREL",1997,NA,846,NA
"133","one_YO_summer",3,"F","GREL",1998,784.814814814815,893.452380952381,NA
"134","one_YO_summer",3,"F","GREL",1999,797.866666666667,906.261980830671,NA
"135","one_YO_summer",3,"F","GREL",2000,784.210526315789,887.734375,NA
"136","one_YO_summer",3,"F","GREL",2001,784.285714285714,890,NA
"137","one_YO_summer",3,"F","GREL",2002,819.259259259259,918.333333333333,NA
"138","one_YO_summer",3,"F","GREL",2003,NA,868.333333333333,NA
"139","one_YO_summer",3,"F","GREL",2004,791.333333333333,856.315789473684,NA
"140","one_YO_summer",3,"F","GREL",2005,831.25,934.233333333333,NA
"141","one_YO_summer",3,"F","GREL",2006,763.061224489796,862.553571428571,NA
"142","one_YO_summer",3,"F","GREL",2007,789.53125,873.027397260274,NA
"143","one_YO_summer",3,"F","GREL",2008,768.333333333333,NA,NA
"144","one_YO_summer",3,"F","GREL",2009,NA,819.285714285714,NA
"145","one_YO_summer",3,"F","LEWI",1977,NA,866.666666666667,916.333333333333
"146","one_YO_summer",3,"F","LEWI",1978,NA,847.727272727273,903.157894736842
"147","one_YO_summer",3,"F","LEWI",1979,NA,840.748251748252,944
"148","one_YO_summer",3,"F","LEWI",1980,NA,835.483870967742,NA
"149","one_YO_summer",3,"F","LEWI",1981,NA,856.363636363636,NA
"150","one_YO_summer",3,"F","LEWI",1982,NA,870.588235294118,964.545454545455
"151","one_YO_summer",3,"F","LEWI",1983,NA,874.324324324324,955.571428571429
"152","one_YO_summer",3,"F","LEWI",1984,NA,855.454545454545,939.807692307692
"153","one_YO_summer",3,"F","LEWI",1985,NA,828.524590163934,941.25
"154","one_YO_summer",3,"F","LEWI",1986,NA,860.657894736842,933.255813953488
"155","one_YO_summer",3,"F","LEWI",1987,NA,854.230769230769,933.125
"156","one_YO_summer",3,"F","LEWI",1988,NA,839.537037037037,911.904761904762
"157","one_YO_summer",3,"F","LEWI",1990,NA,808.085106382979,919.298245614035
"158","one_YO_summer",3,"F","LEWI",1991,NA,828.333333333333,895.2
"159","one_YO_summer",3,"F","LEWI",1992,NA,853.793103448276,920
"160","one_YO_summer",3,"F","LEWI",1993,NA,863.658536585366,903.636363636364
"161","one_YO_summer",3,"F","LEWI",1994,NA,830,927.692307692308
"162","one_YO_summer",3,"F","LEWI",1996,NA,848.75,NA
"163","one_YO_summer",3,"F","LEWI",1997,NA,839.454545454545,900.93023255814
"164","one_YO_summer",3,"F","LEWI",1998,NA,860.967741935484,935.093457943925
"165","one_YO_summer",3,"F","LEWI",1999,NA,859.021857923497,890.80971659919
"166","one_YO_summer",3,"F","LEWI",2000,NA,812.535211267606,867.051546391753
"167","one_YO_summer",3,"F","LEWI",2001,NA,822.151898734177,887.383333333333
"168","one_YO_summer",3,"F","LEWI",2002,NA,840.194174757282,872.962962962963
"169","one_YO_summer",3,"F","LEWI",2003,NA,828.8,915
"170","one_YO_summer",3,"F","LEWI",2004,NA,849.53488372093,885
"171","one_YO_summer",3,"F","LEWI",2005,NA,846,905.972222222222
"172","one_YO_summer",3,"F","LEWI",2006,NA,824.754098360656,885
"173","one_YO_summer",3,"F","LEWI",2007,NA,820.735294117647,884.117647058824
"174","one_YO_summer",3,"F","LEWI",2008,NA,814.69387755102,880.645161290323
"175","one_YO_summer",3,"F","LEWI",2009,NA,823.207547169811,839.428571428571
"176","one_YO_summer",3,"F","LOSN",1980,680,834.21875,NA
"177","one_YO_summer",3,"F","LOSN",1981,703.701492537313,815.671641791045,NA
"178","one_YO_summer",3,"F","LOSN",1994,NA,791,NA
"179","one_YO_summer",3,"F","LOSN",1998,697.248633879781,820.192719486081,NA
"180","one_YO_summer",3,"F","LOSN",1999,726.543209876543,829.606299212598,NA
"181","one_YO_summer",3,"F","LOSN",2001,680.46511627907,787.5,NA
"182","one_YO_summer",3,"F","LOSN",2002,702.333333333333,803.076923076923,NA
"183","one_YO_summer",3,"F","LOSN",2003,709.642857142857,765.5,NA
"184","one_YO_summer",3,"F","LOSN",2004,714.375,NA,NA
"185","one_YO_summer",3,"F","LOSN",2005,726.983240223464,828.90756302521,NA
"186","one_YO_summer",3,"F","LOSN",2006,740,NA,NA
"187","one_YO_summer",3,"F","LOSN",2007,739.347826086957,816.24,NA
"188","one_YO_summer",3,"F","LOSN",2008,746.111111111111,805.454545454545,NA
"189","one_YO_summer",3,"F","LOSN",2009,717.777777777778,787.810218978102,NA
"190","one_YO_summer",3,"F","MNPR",1977,725.964285714286,867.636363636364,940
"191","one_YO_summer",3,"F","MNPR",1978,712,839.420289855072,914.454545454545
"192","one_YO_summer",3,"F","MNPR",1979,747.714285714286,865.21875,974.5
"193","one_YO_summer",3,"F","MNPR",1980,727.777777777778,844.055276381909,920.224719101124
"194","one_YO_summer",3,"F","MNPR",1981,721.818181818182,854.860927152318,940.413793103448
"195","one_YO_summer",3,"F","MNPR",1982,716.8,862.362275449102,963.558441558442
"196","one_YO_summer",3,"F","MNPR",1983,744.170454545455,873.668674698795,954.649122807018
"197","one_YO_summer",3,"F","MNPR",1984,728.659574468085,877.884476534296,952.42774566474
"198","one_YO_summer",3,"F","MNPR",1985,NA,864.520547945206,949.574468085106
"199","one_YO_summer",3,"F","MNPR",1986,690,860.454545454545,910.263157894737
"200","one_YO_summer",3,"F","MNPR",1987,NA,826.176470588235,915.263157894737
"201","one_YO_summer",3,"F","MNPR",1988,768.636363636364,877.2,933.396226415094
"202","one_YO_summer",3,"F","MNPR",1989,743.75,832.518518518518,908.730158730159
"203","one_YO_summer",3,"F","MNPR",1990,733.428571428571,855.558241758242,928
"204","one_YO_summer",3,"F","MNPR",1991,NA,850.454545454545,910.27027027027
"205","one_YO_summer",3,"F","MNPR",1992,721.219512195122,851.789473684211,904.285714285714
"206","one_YO_summer",3,"F","MNPR",1993,729.058823529412,852.886597938144,938.231292517007
"207","one_YO_summer",3,"F","MNPR",1994,NA,850.3125,920.909090909091
"208","one_YO_summer",3,"F","MNPR",1995,716.218487394958,832.899869960988,925.159793814433
"209","one_YO_summer",3,"F","MNPR",1996,703.256704980843,858.479262672811,914.035087719298
"210","one_YO_summer",3,"F","MNPR",1997,NA,838.888888888889,930
"211","one_YO_summer",3,"F","MNPR",1998,NA,869.151515151515,932
"212","one_YO_summer",3,"F","MNPR",1999,731.216216216216,842.92899408284,895.26872246696
"213","one_YO_summer",3,"F","MNPR",2000,NA,807.222222222222,865.686274509804
"214","one_YO_summer",3,"F","MNPR",2001,712.4,804.95247148289,890.295857988166
"215","one_YO_summer",3,"F","MNPR",2002,713.793103448276,852.222222222222,890
"216","one_YO_summer",3,"F","MNPR",2007,717.649402390438,787.527733755943,859.166666666667
"217","one_YO_summer",3,"F","MNPR",2008,702.995594713656,796.954887218045,NA
"218","one_YO_summer",3,"F","MNPR",2009,703.788395904437,784.930211616389,839.489051094891
"219","one_YO_summer",3,"F","SAND",1979,NA,874.210526315789,NA
"220","one_YO_summer",3,"F","SAND",1980,800.796116504854,872.294117647059,NA
"221","one_YO_summer",3,"F","SAND",1981,752.657407407407,870,NA
"222","one_YO_summer",3,"F","SAND",1982,799.677419354839,899.5,NA
"223","one_YO_summer",3,"F","SAND",1983,818.95652173913,NA,NA
"224","one_YO_summer",3,"F","SAND",1984,784.824137931034,884.664697193501,NA
"225","one_YO_summer",3,"F","SAND",1986,777.538461538462,872.553191489362,NA
"226","one_YO_summer",3,"F","SAND",1987,850.461538461538,NA,NA
"227","one_YO_summer",3,"F","SAND",1988,781.212121212121,865.78125,NA
"228","one_YO_summer",3,"F","SAND",1989,781.428571428571,NA,NA
"229","one_YO_summer",3,"F","SAND",1990,NA,867.916666666667,NA
"230","one_YO_summer",3,"F","SAND",1991,765,NA,NA
"231","one_YO_summer",3,"F","SAND",1994,723.888888888889,856,NA
"232","one_YO_summer",3,"F","SAND",1995,744.545454545455,NA,NA
"233","one_YO_summer",3,"F","SAND",1999,NA,818.333333333333,NA
"234","one_YO_summer",3,"F","SAND",2008,791.515151515152,846.578947368421,NA
"235","one_YO_summer",3,"F","SAND",2009,787.777777777778,836.818181818182,NA
"236","one_YO_summer",3,"F","SAWA",1977,NA,860.31007751938,941.538461538462
"237","one_YO_summer",3,"F","SAWA",1978,698,868.109243697479,929.842105263158
"238","one_YO_summer",3,"F","SAWA",1979,734.461538461538,847.109195402299,969.118644067797
"239","one_YO_summer",3,"F","SAWA",1980,697.239130434783,846.630508474576,936.753623188406
"240","one_YO_summer",3,"F","SAWA",1981,NA,859.551020408163,944.869565217391
"241","one_YO_summer",3,"F","SAWA",1982,NA,872.411764705882,933.181818181818
"242","one_YO_summer",3,"F","SAWA",1983,744.946308724832,852,943.2
"243","one_YO_summer",3,"F","SAWA",1984,713.076923076923,855.731958762887,931.962732919255
"244","one_YO_summer",3,"F","SAWA",1985,661.625,844.907749077491,935
"245","one_YO_summer",3,"F","SAWA",1986,714.954022988506,853.849702380952,936.094017094017
"246","one_YO_summer",3,"F","SAWA",1987,729.825,835,918.947368421053
"247","one_YO_summer",3,"F","SAWA",1988,726.377551020408,852.796363636364,909.827586206897
"248","one_YO_summer",3,"F","SAWA",1989,712.28813559322,828.474358974359,896.744680851064
"249","one_YO_summer",3,"F","SAWA",1990,NA,840,930
"250","one_YO_summer",3,"F","SAWA",1991,722.5,828.360655737705,NA
"251","one_YO_summer",3,"F","SAWA",1992,732.676056338028,834.756598240469,910
"252","one_YO_summer",3,"F","SAWA",1993,734.081632653061,842.837837837838,878.575757575758
"253","one_YO_summer",3,"F","SAWA",1994,NA,846.65,918.235294117647
"254","one_YO_summer",3,"F","SAWA",1995,741.044776119403,835.846153846154,921.68
"255","one_YO_summer",3,"F","SAWA",1996,689.5,833.333333333333,NA
"256","one_YO_summer",3,"F","SAWA",1997,NA,827.068965517241,897.058823529412
"257","one_YO_summer",3,"F","SAWA",1998,743.214285714286,851.103202846975,922.045454545455
"258","one_YO_summer",3,"F","SAWA",1999,728.235294117647,854.120879120879,884.891304347826
"259","one_YO_summer",3,"F","SAWA",2000,710,815.081967213115,895
"260","one_YO_summer",3,"F","SAWA",2001,698.75,830.606060606061,921.052631578947
"261","one_YO_summer",3,"F","SAWA",2002,736.595744680851,808.852459016393,885.454545454545
"262","one_YO_summer",3,"F","SAWA",2003,763.571428571429,827.540983606557,NA
"263","one_YO_summer",3,"F","SAWA",2004,733.409090909091,817.647058823529,NA
"264","one_YO_summer",3,"F","SAWA",2005,740,832.211538461538,894.285714285714
"265","one_YO_summer",3,"F","SAWA",2006,737.714285714286,827.96178343949,NA
"266","one_YO_summer",3,"F","SAWA",2007,727.551020408163,806.209677419355,835.625
"267","one_YO_summer",3,"F","SAWA",2008,713.658536585366,804.416666666667,NA
"268","one_YO_summer",3,"F","SAWA",2009,719,809.411764705882,NA
"269","one_YO_summer",3,"F","WILL",1978,NA,903.604651162791,NA
"270","one_YO_summer",3,"F","WILL",1979,795.710691823899,896.75,NA
"271","one_YO_summer",3,"F","WILL",1980,791.777777777778,880.421052631579,NA
"272","one_YO_summer",3,"F","WILL",1981,762.19298245614,880.299319727891,NA
"273","one_YO_summer",3,"F","WILL",1982,793.343137254902,894.938775510204,NA
"274","one_YO_summer",3,"F","WILL",1983,825.4375,NA,NA
"275","one_YO_summer",3,"F","WILL",1984,786.078799249531,905.0715835141,NA
"276","one_YO_summer",3,"F","WILL",1985,753.666666666667,871.363636363636,NA
"277","one_YO_summer",3,"F","WILL",1986,NA,893.25,NA
"278","one_YO_summer",3,"F","WILL",1987,787.8,893.857142857143,NA
"279","one_YO_summer",3,"F","WILL",1988,781.714285714286,877.142857142857,NA
"280","one_YO_summer",3,"F","WILL",1989,796.558704453441,NA,NA
"281","one_YO_summer",3,"F","WILL",1993,766.666666666667,NA,NA
"282","one_YO_summer",3,"F","WILL",1994,753.916666666667,864.454545454545,NA
"283","one_YO_summer",3,"F","WIND",1977,810.415204678363,885.014492753623,NA
"284","one_YO_summer",3,"F","WIND",1978,804.030514385353,898.870402802102,NA
"285","one_YO_summer",3,"F","WIND",1979,816.235915492958,871.448717948718,NA
"286","one_YO_summer",3,"F","WIND",1980,788.648648648649,848.333333333333,NA
"287","one_YO_summer",3,"F","WIND",1981,758.527777777778,850.925619834711,NA
"288","one_YO_summer",3,"F","WIND",1983,NA,840.896551724138,NA
"289","one_YO_summer",3,"F","WIND",1984,760.037735849057,883.232432432432,NA
"290","one_YO_summer",3,"F","WIND",1985,778.341463414634,852.211538461538,NA
"291","one_YO_summer",3,"F","WIND",1986,775.873786407767,869.403019744483,NA
"292","one_YO_summer",3,"F","WIND",1987,810.673835125448,887.397959183673,NA
"293","one_YO_summer",3,"F","WIND",1988,800.05623100304,890.509727626459,NA
"294","one_YO_summer",3,"F","WIND",1989,776.988405797101,NA,NA
"295","one_YO_summer",3,"F","WIND",1990,NA,871.761363636364,NA
"296","one_YO_summer",3,"F","WIND",1991,782.194244604317,882.3125,NA
"297","one_YO_summer",3,"F","WIND",1992,796.395348837209,864.457831325301,NA
"298","one_YO_summer",3,"F","WIND",1993,757.520661157025,853.30612244898,NA
"299","one_YO_summer",3,"F","WIND",1994,744.877384196185,868.674698795181,NA
"300","one_YO_summer",3,"F","WIND",1995,723.397590361446,843.333333333333,NA
"301","one_YO_summer",3,"F","WIND",1996,764.330024813896,885.9,NA
"302","one_YO_summer",3,"F","WIND",1997,769.661016949153,872.8,NA
"303","one_YO_summer",3,"F","WIND",1998,806.507596685083,920.183823529412,NA
"304","one_YO_summer",3,"F","WIND",1999,794.283801874163,912.011406844106,NA
"305","one_YO_summer",3,"F","WIND",2000,797.545454545455,896.796407185629,NA
"306","one_YO_summer",3,"F","WIND",2001,807.381756756757,874.880952380952,NA
"307","one_YO_summer",3,"F","WIND",2002,824.335260115607,912.244897959184,NA
"308","one_YO_summer",3,"F","WIND",2003,828.995983935743,898.155339805825,NA
"309","one_YO_summer",3,"F","WIND",2004,829.368421052632,NA,NA
"310","one_YO_summer",3,"F","WIND",2005,815.572715572716,928.57938718663,NA
"311","one_YO_summer",3,"F","WIND",2006,838.550724637681,883.333333333333,NA
"312","one_YO_summer",3,"F","WIND",2007,834.270952927669,888,NA
"313","one_YO_summer",3,"F","WIND",2008,812.032686414709,872.583732057416,NA
"314","one_YO_summer",3,"F","WIND",2009,805.958815958816,873.43023255814,NA
"315","one_YO_summer",3,"F","YOCL",1977,817.58064516129,908.485294117647,NA
"316","one_YO_summer",3,"F","YOCL",1978,821.237837837838,907.370689655172,NA
"317","one_YO_summer",3,"F","YOCL",1979,815.592074592075,888.717532467532,NA
"318","one_YO_summer",3,"F","YOCL",1980,788.878787878788,888.85,NA
