,,,,,,
, YEAR            ,MONTH       ,NPGO,,,
,1.964E+03,7E+00,1.6039742E+00,,,
,1.964E+03,8E+00,7.8188421E-01,,,
,1.964E+03,9E+00,9.1256373E-01,,,
,1.964E+03,1E+01,7.1267229E-01,,,
,1.964E+03,1.1E+01,7.4383372E-02,,,
,1.964E+03,1.2E+01,-6.7944342E-01,,,
,1.965E+03,1E+00,-6.0927069E-01,,,
,1.965E+03,2E+00,-8.375497E-01,,,
,1.965E+03,3E+00,-9.425717E-01,,,
,1.965E+03,4E+00,-8.7943354E-01,,,
,1.965E+03,5E+00,-1.1591951E+00,,,
,1.965E+03,6E+00,-8.3030121E-01,,,
,1.965E+03,7E+00,-6.9218264E-01,,,
,1.965E+03,8E+00,-4.4396173E-01,,,
,1.965E+03,9E+00,-8.5712342E-01,,,
,1.965E+03,1E+01,-6.8304581E-01,,,
,1.965E+03,1.1E+01,-9.1841417E-01,,,
,1.965E+03,1.2E+01,-1.1935027E+00,,,
,1.966E+03,1E+00,-3.2304436E-01,,,
,1.966E+03,2E+00,-1.114448E+00,,,
,1.966E+03,3E+00,-5.9910173E-01,,,
,1.966E+03,4E+00,-1.3692633E+00,,,
,1.966E+03,5E+00,-1.678718E+00,,,
,1.966E+03,6E+00,-1.2637274E+00,,,
,1.966E+03,7E+00,-1.1138805E+00,,,
,1.966E+03,8E+00,-9.7791948E-01,,,
,1.966E+03,9E+00,-7.5325036E-01,,,
,1.966E+03,1E+01,-7.9952865E-01,,,
,1.966E+03,1.1E+01,-9.3839698E-01,,,
,1.966E+03,1.2E+01,-5.4499555E-01,,,
,1.967E+03,1E+00,-7.3605125E-01,,,
,1.967E+03,2E+00,-6.1006085E-01,,,
,1.967E+03,3E+00,-1.1191961E+00,,,
,1.967E+03,4E+00,-8.9138072E-01,,,
,1.967E+03,5E+00,-9.9509831E-01,,,
,1.967E+03,6E+00,-1.252485E+00,,,
,1.967E+03,7E+00,-1.1731513E+00,,,
,1.967E+03,8E+00,-7.5379956E-01,,,
,1.967E+03,9E+00,-5.1677917E-02,,,
,1.967E+03,1E+01,7.1177736E-03,,,
,1.967E+03,1.1E+01,-5.8751481E-01,,,
,1.967E+03,1.2E+01,-2.3339957E-01,,,
,1.968E+03,1E+00,-7.6610972E-01,,,
,1.968E+03,2E+00,-6.258595E-01,,,
,1.968E+03,3E+00,-6.3205407E-01,,,
,1.968E+03,4E+00,-1.1582636E+00,,,
,1.968E+03,5E+00,-1.2594507E+00,,,
,1.968E+03,6E+00,-1.0381912E+00,,,
,1.968E+03,7E+00,-1.0214287E+00,,,
,1.968E+03,8E+00,-9.5952812E-01,,,
,1.968E+03,9E+00,-9.1457811E-01,,,
,1.968E+03,1E+01,-7.3758116E-01,,,
,1.968E+03,1.1E+01,-2.2530564E-01,,,
,1.968E+03,1.2E+01,-8.6887064E-01,,,
,1.969E+03,1E+00,-2.5593478E+00,,,
,1.969E+03,2E+00,-7.369928E-01,,,
